PRODUTOS,ID_CLIENTE,ID_PEDIDO,ID_PRODUTO,DATA_PEDIDO,VALOR,QUANTIDADE,VALOR_TOTAL,CANAL,UNIDADE,LAT,LON
1,100001,1000011,7,5/15/2018,5590,1,5590,Loja Física,001 - Vivara Shopping Morumbi,-23.622738,-46.699308
1,100001,1000011,8,11/10/2018,1690,1,1690,Loja Física,187 - Vivara Vila Olimpia,-23.59517,-46.687024
1,100002,1000023,13,1/8/2018,259.9,1,259.9,Loja Física,187 - SAO PAULO LAPA SP,,
1,100002,1000022,15,12/29/2017,69.9,1,69.9,Loja Física,113 - SAO PAULO PINHEIROS SP,,
1,100002,1000021,13,1/2/2018,259.9,1,259.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000021,3,11/11/2017,99.9,1,99.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000021,9,1/7/2018,89.9,1,89.9,Loja Física,113 - SAO PAULO PINHEIROS SP,,
1,100002,1000023,4,1/5/2018,159.9,1,159.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000023,11,11/30/2017,39.9,1,39.9,e-Commerce,001 - e-Commerce,,
1,100002,1000023,3,1/7/2018,99.9,1,99.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000021,16,12/27/2017,39.9,1,39.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000021,15,12/3/2017,69.9,1,69.9,e-Commerce,001 - e-Commerce,,
1,100002,1000023,5,12/5/2017,189.9,1,189.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000023,9,12/15/2017,89.9,1,89.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000021,4,12/6/2017,159.9,1,159.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000023,6,1/6/2018,299.9,1,299.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000023,2,11/21/2017,49.9,1,49.9,e-Commerce,001 - e-Commerce,,
1,100002,1000023,1,12/6/2017,129.9,1,129.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100002,1000022,3,12/13/2017,99.9,1,99.9,e-Commerce,001 - e-Commerce,,
1,100003,1000032,1,12/5/2017,129.9,1,129.9,Loja Física,187 - SAO PAULO LAPA SP,,
1,100003,1000031,11,12/4/2017,39.9,1,39.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
1,100003,1000032,16,1/2/2018,39.9,1,39.9,Loja Física,187 - SAO PAULO LAPA SP,,
1,100003,1000033,13,11/15/2017,259.9,1,259.9,e-Commerce,010 - SAO PAULO CENTRO SP,,
